순위	가수	제목	변동	좋아요	발매일	장르	댓글수	곡정보url	팬수
1	브레이브걸스	롤린 (Rollin')	0	278686	2017.03.07	댄스	7671	https://www.melon.com/song/detail.htm?songId=30287019	49940
2	아이유	라일락	0	200496	2021.03.25	댄스	2121	https://www.melon.com/song/detail.htm?songId=33372781	742373
3	브레이브걸스	운전만해 (We Ride)	2	120782	2020.08.14	댄스	2726	https://www.melon.com/song/detail.htm?songId=32860397	49940
4	아이유	Celebrity	-1	289539	2021.03.25	댄스	3956	https://www.melon.com/song/detail.htm?songId=33239419	742373
5	SG 워너비	Timeless	24	93379	2004.01.20	발라드	576	https://www.melon.com/song/detail.htm?songId=1944399	56695
6	방탄소년단	Dynamite	3	413182	2020.08.24	댄스	20923	https://www.melon.com/song/detail.htm?songId=32872978	771884
7	SG 워너비	라라라	42	78687	2008.04.24	발라드	271	https://www.melon.com/song/detail.htm?songId=1854856	56695
8	오마이걸 (OH MY GIRL)	Dun Dun Dance	92	120936	2021.05.10	댄스	2828	https://www.melon.com/song/detail.htm?songId=33464805	122330
9	SG 워너비	내사람	45	65366	2006.11.15	R&B/Soul	255	https://www.melon.com/song/detail.htm?songId=1500196	56695
10	아이유	내 손을 잡아	-3	156724	2011.05.25	발라드, 국내드라마	1052	https://www.melon.com/song/detail.htm?songId=3414749	742373
11	아이유	Coin	-7	94747	2021.03.25	R&B/Soul	1156	https://www.melon.com/song/detail.htm?songId=33372783	742373
12	송이한	밝게 빛나는 별이 되어 비춰줄게	-2	81595	2020.12.29	R&B/Soul	397	https://www.melon.com/song/detail.htm?songId=33167063	3236
13	양요섭	LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)	-5	93446	2021.03.05	댄스	807	https://www.melon.com/song/detail.htm?songId=33331004	51691
14	ITZY (있지)	마.피.아. In the morning	86	53723	2021.04.30	랩/힙합	2849	https://www.melon.com/song/detail.htm?songId=33447280	51851
15	ASH ISLAND	멜로디	27	90411	2021.02.25	랩/힙합	599	https://www.melon.com/song/detail.htm?songId=33315511	71173
16	로제 (ROSÉ)	On The Ground	-10	128916	2021.03.12	록/메탈	1598	https://www.melon.com/song/detail.htm?songId=33346446	40040
17	경서	밤하늘의 별을(2020)	-6	154862	2020.11.14	발라드	3668	https://www.melon.com/song/detail.htm?songId=33061995	4289
18	호미들	사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)	58	88502	2021.03.20	랩/힙합	536	https://www.melon.com/song/detail.htm?songId=33359725	24674
19	STAYC(스테이씨)	ASAP	81	103744	2021.04.08	댄스	3246	https://www.melon.com/song/detail.htm?songId=33397561	21110
20	방탄소년단	Butter	80	210553	2021.05.21	댄스	7805	https://www.melon.com/song/detail.htm?songId=33507137	771884
